situation the body constructs (loop.py:391): HIDDEN alone -> CHANGE_GRANULARITY

   x bits                                     ruling
  16 HIDDEN                                   CHANGE_GRANULARITY
  17 BUILT+HIDDEN                             CHANGE_GRANULARITY
  18 AMB+HIDDEN                               ADD_STATE
  19 BUILT+AMB+HIDDEN                         ADD_STATE
  20 UNREAD+HIDDEN                            ADD_MATERIAL
  21 BUILT+UNREAD+HIDDEN                      ADD_MATERIAL
  22 AMB+UNREAD+HIDDEN                        ADD_STATE
  23 BUILT+AMB+UNREAD+HIDDEN                  RAISE_BUDGET
  24 NOTWIN+HIDDEN                            AUTHOR_SUCCESSOR
  25 BUILT+NOTWIN+HIDDEN                      RESHAPE
  26 AMB+NOTWIN+HIDDEN                        ADD_STATE
  27 BUILT+AMB+NOTWIN+HIDDEN                  ADD_STATE
  28 UNREAD+NOTWIN+HIDDEN                     ADD_MATERIAL
  29 BUILT+UNREAD+NOTWIN+HIDDEN               ADD_MATERIAL
  30 AMB+UNREAD+NOTWIN+HIDDEN                 ADD_STATE
  31 BUILT+AMB+UNREAD+NOTWIN+HIDDEN           ADD_STATE
  48 HIDDEN+CAPPED                            CHANGE_GRANULARITY
  49 BUILT+HIDDEN+CAPPED                      CHANGE_GRANULARITY
  50 AMB+HIDDEN+CAPPED                        ADD_STATE
  51 BUILT+AMB+HIDDEN+CAPPED                  ADD_STATE
  52 UNREAD+HIDDEN+CAPPED                     ADD_MATERIAL
  53 BUILT+UNREAD+HIDDEN+CAPPED               ADD_MATERIAL
  54 AMB+UNREAD+HIDDEN+CAPPED                 ADD_STATE
  55 BUILT+AMB+UNREAD+HIDDEN+CAPPED           RAISE_BUDGET
  56 NOTWIN+HIDDEN+CAPPED                     AUTHOR_SUCCESSOR
  57 BUILT+NOTWIN+HIDDEN+CAPPED               RESHAPE
  58 AMB+NOTWIN+HIDDEN+CAPPED                 ADD_STATE
  59 BUILT+AMB+NOTWIN+HIDDEN+CAPPED           ADD_STATE
  60 UNREAD+NOTWIN+HIDDEN+CAPPED              ADD_MATERIAL
  61 BUILT+UNREAD+NOTWIN+HIDDEN+CAPPED        ADD_MATERIAL
  62 AMB+UNREAD+NOTWIN+HIDDEN+CAPPED          ADD_STATE
  63 BUILT+AMB+UNREAD+NOTWIN+HIDDEN+CAPPED    ADD_STATE
  80 HIDDEN+REFUTED                           CHANGE_GRANULARITY
  81 BUILT+HIDDEN+REFUTED                     CHANGE_GRANULARITY
  82 AMB+HIDDEN+REFUTED                       ADD_STATE
  83 BUILT+AMB+HIDDEN+REFUTED                 ADD_STATE
  84 UNREAD+HIDDEN+REFUTED                    ADD_MATERIAL
  85 BUILT+UNREAD+HIDDEN+REFUTED              ADD_MATERIAL
  86 AMB+UNREAD+HIDDEN+REFUTED                ADD_STATE
  87 BUILT+AMB+UNREAD+HIDDEN+REFUTED          RAISE_BUDGET
  88 NOTWIN+HIDDEN+REFUTED                    AUTHOR_SUCCESSOR
  89 BUILT+NOTWIN+HIDDEN+REFUTED              RESHAPE
  90 AMB+NOTWIN+HIDDEN+REFUTED                ADD_STATE
  91 BUILT+AMB+NOTWIN+HIDDEN+REFUTED          ADD_STATE
  92 UNREAD+NOTWIN+HIDDEN+REFUTED             ADD_MATERIAL
  93 BUILT+UNREAD+NOTWIN+HIDDEN+REFUTED       ADD_MATERIAL
  94 AMB+UNREAD+NOTWIN+HIDDEN+REFUTED         ADD_STATE
  95 BUILT+AMB+UNREAD+NOTWIN+HIDDEN+REFUTED   ADD_STATE
 112 HIDDEN+CAPPED+REFUTED                    CHANGE_GRANULARITY
 113 BUILT+HIDDEN+CAPPED+REFUTED              CHANGE_GRANULARITY
 114 AMB+HIDDEN+CAPPED+REFUTED                ADD_STATE
 115 BUILT+AMB+HIDDEN+CAPPED+REFUTED          ADD_STATE
 116 UNREAD+HIDDEN+CAPPED+REFUTED             ADD_MATERIAL
 117 BUILT+UNREAD+HIDDEN+CAPPED+REFUTED       ADD_MATERIAL
 118 AMB+UNREAD+HIDDEN+CAPPED+REFUTED         ADD_STATE
 119 BUILT+AMB+UNREAD+HIDDEN+CAPPED+REFUTED   RAISE_BUDGET
 120 NOTWIN+HIDDEN+CAPPED+REFUTED             AUTHOR_SUCCESSOR
 121 BUILT+NOTWIN+HIDDEN+CAPPED+REFUTED       RESHAPE
 122 AMB+NOTWIN+HIDDEN+CAPPED+REFUTED         ADD_STATE
 123 BUILT+AMB+NOTWIN+HIDDEN+CAPPED+REFUTED   ADD_STATE
 124 UNREAD+NOTWIN+HIDDEN+CAPPED+REFUTED      ADD_MATERIAL
