x    bits                                                sight  spec  closed_form
0    -                                                  6      6     6
1    FRAMED                                             0      0     0
2    SCARCE                                             0      0     0
3    FRAMED+SCARCE                                      0      0     0
4    LITERAL                                            0      0     0
5    FRAMED+LITERAL                                     0      0     0
6    SCARCE+LITERAL                                     0      0     0
7    FRAMED+SCARCE+LITERAL                              0      0     0
8    FAILONLY                                           2      2     2
9    FRAMED+FAILONLY                                    0      0     0
10   SCARCE+FAILONLY                                    0      0     0
11   FRAMED+SCARCE+FAILONLY                             0      0     0
12   LITERAL+FAILONLY                                   0      0     0
13   FRAMED+LITERAL+FAILONLY                            0      0     0
14   SCARCE+LITERAL+FAILONLY                            0      0     0
15   FRAMED+SCARCE+LITERAL+FAILONLY                     0      0     0
16   NAMED                                              3      3     3
17   FRAMED+NAMED                                       0      0     0
18   SCARCE+NAMED                                       0      0     0
19   FRAMED+SCARCE+NAMED                                0      0     0
20   LITERAL+NAMED                                      0      0     0
21   FRAMED+LITERAL+NAMED                               0      0     0
22   SCARCE+LITERAL+NAMED                               0      0     0
23   FRAMED+SCARCE+LITERAL+NAMED                        0      0     0
24   FAILONLY+NAMED                                     2      2     2
25   FRAMED+FAILONLY+NAMED                              0      0     0
26   SCARCE+FAILONLY+NAMED                              0      0     0
27   FRAMED+SCARCE+FAILONLY+NAMED                       0      0     0
28   LITERAL+FAILONLY+NAMED                             0      0     0
29   FRAMED+LITERAL+FAILONLY+NAMED                      0      0     0
30   SCARCE+LITERAL+FAILONLY+NAMED                      0      0     0
31   FRAMED+SCARCE+LITERAL+FAILONLY+NAMED               0      0     0
32   TOUCHED                                            4      4     4
33   FRAMED+TOUCHED                                     0      0     0
34   SCARCE+TOUCHED                                     0      0     0
35   FRAMED+SCARCE+TOUCHED                              0      0     0
36   LITERAL+TOUCHED                                    0      0     0
37   FRAMED+LITERAL+TOUCHED                             0      0     0
38   SCARCE+LITERAL+TOUCHED                             0      0     0
39   FRAMED+SCARCE+LITERAL+TOUCHED                      0      0     0
40   FAILONLY+TOUCHED                                   2      2     2
41   FRAMED+FAILONLY+TOUCHED                            0      0     0
42   SCARCE+FAILONLY+TOUCHED                            0      0     0
43   FRAMED+SCARCE+FAILONLY+TOUCHED                     0      0     0
44   LITERAL+FAILONLY+TOUCHED                           0      0     0
45   FRAMED+LITERAL+FAILONLY+TOUCHED                    0      0     0
46   SCARCE+LITERAL+FAILONLY+TOUCHED                    0      0     0
47   FRAMED+SCARCE+LITERAL+FAILONLY+TOUCHED             0      0     0
48   NAMED+TOUCHED                                      3      3     3
49   FRAMED+NAMED+TOUCHED                               0      0     0
50   SCARCE+NAMED+TOUCHED                               0      0     0
51   FRAMED+SCARCE+NAMED+TOUCHED                        0      0     0
52   LITERAL+NAMED+TOUCHED                              0      0     0
53   FRAMED+LITERAL+NAMED+TOUCHED                       0      0     0
54   SCARCE+LITERAL+NAMED+TOUCHED                       0      0     0
55   FRAMED+SCARCE+LITERAL+NAMED+TOUCHED                0      0     0
56   FAILONLY+NAMED+TOUCHED                             2      2     2
57   FRAMED+FAILONLY+NAMED+TOUCHED                      0      0     0
58   SCARCE+FAILONLY+NAMED+TOUCHED                      0      0     0
59   FRAMED+SCARCE+FAILONLY+NAMED+TOUCHED               0      0     0
60   LITERAL+FAILONLY+NAMED+TOUCHED                     0      0     0
61   FRAMED+LITERAL+FAILONLY+NAMED+TOUCHED              0      0     0
62   SCARCE+LITERAL+FAILONLY+NAMED+TOUCHED              0      0     0
63   FRAMED+SCARCE+LITERAL+FAILONLY+NAMED+TOUCHED       0      0     0
64   SMALL                                              5      5     5
65   FRAMED+SMALL                                       0      0     0
66   SCARCE+SMALL                                       0      0     0
67   FRAMED+SCARCE+SMALL                                0      0     0
68   LITERAL+SMALL                                      0      0     0
69   FRAMED+LITERAL+SMALL                               0      0     0
70   SCARCE+LITERAL+SMALL                               0      0     0
71   FRAMED+SCARCE+LITERAL+SMALL                        0      0     0
72   FAILONLY+SMALL                                     2      2     2
73   FRAMED+FAILONLY+SMALL                              0      0     0
74   SCARCE+FAILONLY+SMALL                              0      0     0
75   FRAMED+SCARCE+FAILONLY+SMALL                       0      0     0
76   LITERAL+FAILONLY+SMALL                             0      0     0
77   FRAMED+LITERAL+FAILONLY+SMALL                      0      0     0
78   SCARCE+LITERAL+FAILONLY+SMALL                      0      0     0
79   FRAMED+SCARCE+LITERAL+FAILONLY+SMALL               0      0     0
80   NAMED+SMALL                                        3      3     3
81   FRAMED+NAMED+SMALL                                 0      0     0
82   SCARCE+NAMED+SMALL                                 0      0     0
83   FRAMED+SCARCE+NAMED+SMALL                          0      0     0
84   LITERAL+NAMED+SMALL                                0      0     0
